交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注,交易日期,交易月份
2026-03-27 12:16:05,商户消费,林丹（聪聪面馆）,/,支出,9.0,零钱,支付成功,4500000149202603275520144242,10357550388917745849600123399701,/,2026-03-27,2026-03
2026-03-27 17:18:23,商户消费,广东德进餐饮管理有限公司,广东德进餐饮管理有限公司-消费,支出,12.5,零钱,支付成功,4200003014202603277844196142,0720260327000376995224,/,2026-03-27,2026-03
2026-03-27 20:16:36,商户消费,嘉应学院一卡通,一卡通-充值-商户订单号：2026032720160291308748770,支出,50.0,零钱,支付成功,4200003034202603270354947574,PRO6332813975577078664,/,2026-03-27,2026-03
2026-03-28 08:41:17,扫二维码付款,欣缘,收款方备注:二维码收款,支出,6.0,零钱,已转账,53110001413082202603283469019581,10001073012026032801054369903557,/,2026-03-28,2026-03
2026-03-28 12:13:28,商户消费,林丹（聪聪面馆）,/,支出,9.0,零钱,支付成功,4500000117202603284589097785,10357541835417746712030107092000,/,2026-03-28,2026-03
2026-03-28 16:54:27,商户消费,好友会美食,/,支出,10.9,零钱,支付成功,4500000124202603286565938069,10357540241017746880590192121900,/,2026-03-28,2026-03
2026-03-28 22:21:28,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,5.0,零钱,已转账,53110001259069202603283555852737,10001073012026032801235138310529,/,2026-03-28,2026-03
2026-03-29 08:15:52,商户消费,嘉应学院后勤服务集团,嘉应学院后勤服务集团-消费,支出,3.0,零钱,支付成功,4200003037202603295399143218,0120260329000385503204,/,2026-03-29,2026-03
2026-03-29 11:52:13,商户消费,嘉应学院后勤服务集团,嘉应学院后勤服务集团-消费,支出,11.0,零钱,支付成功,4200003114202603295704279157,0920260329000386874581,/,2026-03-29,2026-03
2026-03-29 12:00:11,扫二维码付款,嘉大东区百货,收款方备注:二维码收款,支出,3.0,零钱,已转账,53110001403037202603291239165450,10001073012026032901159259614603,/,2026-03-29,2026-03
2026-03-29 18:27:40,扫二维码付款,杨子香,收款方备注:二维码收款,支出,11.0,零钱,已转账,53110001265174202603291126264287,10001073012026032901491691907570,/,2026-03-29,2026-03
2026-03-30 07:44:08,扫二维码付款,聚宝盆,收款方备注:二维码收款,支出,4.5,零钱,已转账,53110001390207202603302214432852,10001073012026033001188373694647,/,2026-03-30,2026-03
2026-03-30 11:50:10,扫二维码付款,欣缘,收款方备注:二维码收款,支出,9.0,零钱,已转账,53110001408020202603300621876046,10001073012026033001918819166578,/,2026-03-30,2026-03
2026-03-30 17:07:09,微信红包,八哥酸辣粉,/,收入,0.03,/,已存入零钱,1000039801012603306307824725650,1000039801202603306307824725650,/,2026-03-30,2026-03
2026-03-30 18:32:23,商户消费,林丹（聪聪面馆）,/,支出,11.0,零钱,支付成功,4500000123202603302842917376,10357469635217748667370149012100,/,2026-03-30,2026-03
2026-03-31 11:05:44,商户消费,梅州市老友面馆,梅州市老友面馆,支出,13.0,零钱,支付成功,4200003124202603314722953934,7895210044066484,/,2026-03-31,2026-03
2026-03-31 17:03:59,微信红包,八哥酸辣粉,/,收入,0.01,/,已存入零钱,1000039801017603316013673833357,1000039801202603316013673833357,/,2026-03-31,2026-03
2026-03-31 17:06:25,商户消费,小凯日尝,/,支出,12.6,零钱,支付成功,4500000132202603316695477852,10357461762717749479780105202100,/,2026-03-31,2026-03
